"Me","Improving","Them","Participant","Worse","BlockTime","Theirs","Failing","Mine","Sad","Better","Disimproving","Myself","Succeeding","Time","Date","Themselves","Correct","Block","Happy"
1248,1157,976.2," 1843",1691.75," 38536",880.666666667,"NA",1438.5,722.333333333,952,847.25,1665,1103.33333333," 13:26:59","07/04/2011",838.25,28,"Block 5:",1067
743.333333333,"NA",611.5," 1879","NA"," 8234",719,"NA",938,"NA","NA","NA","NA","NA"," 12:04:36","18/01/2011",562,11,"Block 1:","NA"
"NA","NA","NA"," 1879",1409," 7958","NA",622.5,"NA",562,549,609,"NA",647," 12:04:36","18/01/2011","NA",12,"Block 2:",589.5
678,1414,736.5," 1879",734.25," 26323",692,649.5,700.333333333,829.8,"NA",692.5,634.666666667,702.333333333," 12:04:36","18/01/2011",739,35,"Block 3:",651
1018,"NA",542," 1879","NA"," 8583",920,"NA",627,"NA","NA","NA",510,"NA"," 12:04:36","18/01/2011",469.5,11,"Block 4:","NA"
689,1062,1200," 1879",993," 35571",694,1355.16666667,651.5,1622,1220,1019,773.5,897.2," 12:04:36","18/01/2011",937,36,"Block 5:","NA"
1137.5,"NA",1146," 1903","NA"," 17934",1211,"NA","NA","NA","NA","NA",786,"NA"," 10:27:12","18/01/2011",2748,11,"Block 1:","NA"
"NA","NA","NA"," 1903",821," 9607","NA",946.666666667,"NA",682,731,844,"NA",738.5," 10:27:12","18/01/2011","NA",12,"Block 2:",637
840,1081.33333333,1229.66666667," 1903",714.6," 30464","NA",701,899,771,747.333333333,625,754,861.2," 10:27:12","18/01/2011",813.5,35,"Block 3:",831
554.5,"NA",874," 1903","NA"," 11780",1273,"NA",1497.5,"NA","NA","NA","NA","NA"," 10:27:12","18/01/2011",570,11,"Block 4:","NA"
1097,1528,2408," 1903",1072," 55454",998,1613.5,1415.25,1671.33333333,1155,2009,1177.25,1992.75," 10:27:12","18/01/2011",1657.66666667,36,"Block 5:",2159
749.333333333,"NA",820," 1911","NA"," 9697",693,"NA",1164.5,"NA","NA","NA",697.5,"NA"," 15:28:14","25/01/2011",696,12,"Block 1:","NA"
"NA",629,"NA"," 1911",733," 11651","NA",838,"NA",1262.5,1010,1203,"NA","NA"," 15:28:14","25/01/2011","NA",12,"Block 2:",668
668.4,947,2006.4," 1911",878.5," 43023",963.666666667,902,1187,790,1154,1314,938.666666667,1415," 15:28:14","25/01/2011",1808,35,"Block 3:",1446.5
667,"NA",1438," 1911","NA"," 13997","NA","NA",2096,"NA","NA","NA",915,"NA"," 15:28:14","25/01/2011",867.333333333,11,"Block 4:","NA"
1029.5,3749.5,1433," 1911",818," 60315",1960.66666667,1322,1666.8,1489.66666667,2116,1965.33333333,871.333333333,2124.5," 15:28:14","25/01/2011",819,36,"Block 5:","NA"
620,"NA",813," 1923","NA"," 11769",679.25,"NA",3426,"NA","NA","NA","NA","NA"," 12:30:04","18/03/2011",855.666666667,12,"Block 1:","NA"
"NA",792,"NA"," 1923",756.5," 8318","NA","NA","NA",502,772,621,"NA",580.666666667," 12:30:04","18/03/2011","NA",12,"Block 2:","NA"
552.5,731,755.333333333," 1923",609," 31271",670.5,536,1000.6,877,716,882,841.666666667,953," 12:30:04","18/03/2011",3309,35,"Block 3:",838
741.5,"NA",1864," 1923","NA"," 9878",915,"NA",995,"NA","NA","NA",679,"NA"," 12:30:04","18/03/2011",635,12,"Block 4:","NA"
729,780,773.25," 1923",1005," 34695",1417,1908,815.857142857,1969,974,563,987,1140," 12:30:04","18/03/2011",733.333333333,35,"Block 5:",588
885.333333333,"NA",1182.66666667," 1956","NA"," 13800",1392,"NA",1014,"NA","NA","NA","NA","NA"," 12:20:49","16/02/2011","NA",12,"Block 1:","NA"
"NA",1238.5,"NA"," 1956",915.5," 12529","NA",961,"NA",983,1221,1156,"NA",979.666666667," 12:20:49","16/02/2011","NA",12,"Block 2:","NA"
1060.75,1163,1101.8," 1956","NA"," 36905",836.333333333,938.333333333,935,905,1273,1036,1258,736," 12:20:49","16/02/2011",846,36,"Block 3:",1372
1016,"NA",907," 1956","NA"," 12912",918,"NA",874,"NA","NA","NA",700,"NA"," 12:20:49","16/02/2011",1449.5,12,"Block 4:","NA"
863.75,1109,1129," 1956",980," 38242",1072.33333333,"NA",968,1067.66666667,1129.33333333,1565,665.5,1247," 12:20:49","16/02/2011",1045.5,36,"Block 5:",1068.66666667
819.5,"NA",2654.5," 19562","NA"," 13151",1091.5,"NA",639,"NA","NA","NA",698.666666667,"NA"," 15:38:19","30/03/2011",642.5,12,"Block 1:","NA"
"NA","NA","NA"," 19562",765," 17384","NA",1249,"NA",937,2928.66666667,1440,"NA",631," 15:38:19","30/03/2011","NA",12,"Block 2:","NA"
942.5,753,1036.5," 19562",648," 35363",1932.33333333,1066.66666667,600,797.333333333,681.75,1060.66666667,733.75,670.5," 15:38:19","30/03/2011",1176.66666667,36,"Block 3:",1449.5
1151,"NA","NA"," 19562","NA"," 18314",1139.33333333,"NA",2364,"NA","NA","NA",2164,"NA"," 15:38:19","30/03/2011",1193.5,12,"Block 4:","NA"
1513.75,707.5,1656," 19562",1979.33333333," 72477",1919.66666667,2148.5,5923,741.5,2767,"NA",1257.5,2901.66666667," 15:38:19","30/03/2011",1604,34,"Block 5:",765
1254,"NA","NA"," 19563","NA"," 14721",976.333333333,"NA",559.5,"NA","NA","NA",668,"NA"," 13:12:46","11/04/2011",1874.25,10,"Block 1:","NA"
"NA",821,"NA"," 19563",1243," 9318","NA",695.5,"NA",532,1159.5,743,"NA",573," 13:12:46","11/04/2011","NA",12,"Block 2:",591
677.666666667,902,705.5," 19563",993," 30235",668.5,611.5,1208.8,766.25,"NA",924,819.5,630," 13:12:46","11/04/2011",638,36,"Block 3:",1061.33333333
489.5,"NA",866," 19563","NA"," 7860",569.5,"NA",618,"NA","NA","NA",833.666666667,"NA"," 13:12:46","11/04/2011",585.666666667,12,"Block 4:","NA"
530.5,"NA",797.2," 19563",1084.25," 31220",769,1266.5,1126,972.5,826.25,890,605.5,1039," 13:12:46","11/04/2011",760.666666667,34,"Block 5:",991
582.333333333,"NA",887," 1970","NA"," 16632",2092,"NA",764.666666667,"NA","NA","NA","NA","NA"," 11:15:21","28/03/2011",3316.5,12,"Block 1:","NA"
"NA",1083,"NA"," 1970",1120," 14125","NA",810,"NA",2919,769,1275,"NA",834.5," 11:15:21","28/03/2011","NA",12,"Block 2:","NA"
"NA",4070,1490," 1970",1701.5," 62571",1088.5,2127,750,1736.33333333,1703,2062,922.5,3539.5," 11:15:21","28/03/2011",1941.8,34,"Block 3:",1032.5
641.5,"NA",694," 1970","NA"," 10913",766,"NA",926.5,"NA","NA","NA",627.5,"NA"," 11:15:21","28/03/2011",1801,12,"Block 4:","NA"
867,2394.33333333,1302.5," 1970",1391.5," 49236",1172.5,2071.5,962,1394,1748.4,1412,823,1349.66666667," 11:15:21","28/03/2011",697.75,36,"Block 5:",1111
901,"NA",2113," 1986","NA"," 22364",4668.5,"NA",1547,"NA","NA","NA",1022,"NA"," 14:44:18","24/03/2011",1136,11,"Block 1:","NA"
"NA","NA","NA"," 1986",698," 11854","NA",782.333333333,"NA",971,960,"NA","NA",1400," 14:44:18","24/03/2011","NA",12,"Block 2:",892.666666667
694,823.5,837.6," 1986",843.5," 34673",1329.4,1102,947,989.5,806,791.666666667,1578,845," 14:44:18","24/03/2011",778,36,"Block 3:",751.5
767,"NA",1186," 1986","NA"," 14061",866.25,"NA",1925.33333333,"NA","NA","NA",914,"NA"," 14:44:18","24/03/2011","NA",11,"Block 4:","NA"
941,977,1079," 1986","NA"," 47049",1849.6,1150.66666667,1245.75,1215.5,1112,1025,2072.5,876," 14:44:18","24/03/2011",1510.5,35,"Block 5:",1047
869,"NA",914," 1987","NA"," 11059",986.5,"NA",1055.66666667,"NA","NA","NA",802.5,"NA"," 16:14:42","25/03/2011",831,12,"Block 1:","NA"
"NA",1400.5,"NA"," 1987","NA"," 9706","NA",591.333333333,"NA",830.5,"NA","NA","NA",709.333333333," 16:14:42","25/03/2011","NA",12,"Block 2:",671
751,807.333333333,599.333333333," 1987",648," 28288",593,852,824.5,604,"NA",591,1740,685.333333333," 16:14:42","25/03/2011",691,36,"Block 3:",825.5
821,"NA","NA"," 1987","NA"," 11339",1160,"NA",689,"NA","NA","NA",992,"NA"," 16:14:42","25/03/2011",678,12,"Block 4:","NA"
790,1065,1220.5," 1987",1078," 44293",721,"NA",984.333333333,870.666666667,1123,1031,982.5,1466," 16:14:42","25/03/2011",1663.83333333,35,"Block 5:",2023.33333333
"NA","NA",1807.33333333," 1991","NA"," 19994",2603,"NA",1082.75,"NA","NA","NA",1039,"NA"," 15:04:41","02/03/2011",1393,12,"Block 1:","NA"
"NA",1250,"NA"," 1991",1752," 20844","NA",1016.5,"NA",2002,3857,1957,"NA","NA"," 15:04:41","02/03/2011","NA",12,"Block 2:",1061
1148,"NA",1189.5," 1991",2520.33333333," 47521",1475,1669,1180,845.5,1102.75,1151.75,850.333333333,948.5," 15:04:41","02/03/2011",2539,36,"Block 3:",914
2180,"NA",2500.5," 1991","NA"," 22934",4563,"NA",780,"NA","NA","NA",1130,"NA"," 15:04:41","02/03/2011",1263.33333333,11,"Block 4:","NA"
1299.5,1911.66666667,3922.66666667," 1991",2972," 74849",3783.5,1261,1478.5,1291.5,1348,2407,1701.5,1063," 15:04:41","02/03/2011",4093,32,"Block 5:",1836.66666667
953,"NA",627.333333333," 19912","NA"," 7959",551,"NA",597,"NA","NA","NA",635.5,"NA"," 16:23:23","15/03/2011",600.5,12,"Block 1:","NA"
"NA",649,"NA"," 19912",612," 8398","NA",950.666666667,"NA",525,652.333333333,561,"NA",621," 16:23:23","15/03/2011","NA",12,"Block 2:","NA"
679.25,725.5,1204.5," 19912",700.333333333," 29136",1059,576,771,1294,685.333333333,598.4,680,739," 16:23:23","15/03/2011",1408,33,"Block 3:",648
"NA","NA","NA"," 19912","NA"," 8342",757.2,"NA",495,"NA","NA","NA",665.333333333,"NA"," 16:23:23","15/03/2011",688.333333333,12,"Block 4:","NA"
626,951.75,723.5," 19912",756," 31503",1525.33333333,763,860,"NA",879,698.5,1081,698," 16:23:23","15/03/2011",873.25,33,"Block 5:",789
468.5,"NA",1155," 2003","NA"," 9385",1211,"NA",672,"NA","NA","NA","NA","NA"," 13:16:25","19/01/2011",548,12,"Block 1:","NA"
"NA",802.666666667,"NA"," 2003","NA"," 9756","NA","NA","NA",1149.5,698.333333333,761,"NA",792," 13:16:25","19/01/2011","NA",12,"Block 2:",640
713.5,835.5,832," 2003",618.8," 27767",936.333333333,640,675.5,1028.25,722.75,633.5,966.666666667,612," 13:16:25","19/01/2011",615,34,"Block 3:",530
939,"NA",1109," 2003","NA"," 12048",1096.5,"NA",1480,"NA","NA","NA",504,"NA"," 13:16:25","19/01/2011",788,9,"Block 4:","NA"
1105.66666667,1047,1678.33333333," 2003",1372," 60760",2143,1089,2735,986,2748.66666667,1575.66666667,1299.25,1466.25," 13:16:25","19/01/2011",2180.25,30,"Block 5:",1633
1018.5,"NA",660," 2069","NA"," 8700",599,"NA",667,"NA","NA","NA",737.5,"NA"," 12:22:52","02/03/2011",563.5,12,"Block 1:","NA"
"NA",694.666666667,"NA"," 2069",926.5," 8819","NA",614.333333333,"NA","NA",872,"NA","NA",652," 12:22:52","02/03/2011","NA",12,"Block 2:",757.5
767.333333333,713.5,"NA"," 2069",892.75," 34182",958,2571,1074.5,906,817,963,686.666666667,804.8," 12:22:52","02/03/2011",1294,34,"Block 3:",1135.5
668,"NA",1447.5," 2069","NA"," 12887",759,"NA",941,"NA","NA","NA","NA","NA"," 12:22:52","02/03/2011",953,11,"Block 4:","NA"
732.75,859.5,824.333333333," 2069",1234.25," 33806",759,783,756.666666667,874.666666667,778.5,822,741,1303," 12:22:52","02/03/2011",1165.5,35,"Block 5:",1045.25
975.333333333,"NA","NA"," 2198","NA"," 9512",1198,"NA",663,"NA","NA","NA",527,"NA"," 13:12:29","07/03/2011",573.5,11,"Block 1:","NA"
"NA",606.333333333,"NA"," 2198",602," 7910","NA","NA","NA",568,501,946.5,"NA",582," 13:12:29","07/03/2011","NA",12,"Block 2:",688.5
528.333333333,632.666666667,571.2," 2198",652.5," 25532",950.333333333,544,1029.33333333,662.5,1272,"NA",664,1381," 13:12:29","07/03/2011",503,35,"Block 3:",531.5
449,"NA",1089.5," 2198","NA"," 7960",595.5,"NA",614.5,"NA","NA","NA",621,"NA"," 13:12:29","07/03/2011",524.5,11,"Block 4:","NA"
609,1095.83333333,975.25," 2198",810.5," 31567","NA",958,"NA",1415,"NA",934.75,695,712," 13:12:29","07/03/2011",805,35,"Block 5:",913.5
579,"NA",452.5," 2212","NA"," 8416",467.5,"NA",597,"NA","NA","NA",595,"NA"," 17:17:42","28/01/2011",1056.5,12,"Block 1:","NA"
"NA",909,"NA"," 2212",1168.5," 8595","NA",585,"NA",634,502,471,"NA",629.666666667," 17:17:42","28/01/2011","NA",10,"Block 2:","NA"
"NA",563.333333333,509.666666667," 2212",593," 24891",801,913.666666667,543,504,734.75,738.5,606,616.333333333," 17:17:42","28/01/2011",715,35,"Block 3:",1114
1019.5,"NA",574.25," 2212","NA"," 8258",498,"NA",475.5,"NA","NA","NA",430,"NA"," 17:17:42","28/01/2011",1021.5,11,"Block 4:","NA"
729,1132.5,728," 2212",792.333333333," 35752",733,827.8,659,2123,2123,749.75,895,920," 17:17:42","28/01/2011",808,28,"Block 5:",847.666666667
567,"NA",483.666666667," 2232","NA"," 8159",1437,"NA",892.5,"NA","NA","NA",645.5,"NA"," 15:22:07","21/01/2011",542.666666667,11,"Block 1:","NA"
"NA",651.5,"NA"," 2232","NA"," 7175","NA",538.5,"NA",524,"NA",418,"NA",1201," 15:22:07","21/01/2011","NA",11,"Block 2:",527
576.4,1517.33333333,574.25," 2232",576," 28944",748,913,790.333333333,733.25,"NA",1088,839,613," 15:22:07","21/01/2011",673.5,35,"Block 3:","NA"
413,"NA","NA"," 2232","NA"," 7318",832,"NA",519.666666667,"NA","NA","NA",492.666666667,"NA"," 15:22:07","21/01/2011",959,10,"Block 4:","NA"
687.5,930,815," 2232",952.333333333," 36775",1004.33333333,1743,760,1060.5,1298.5,1032,683,1095.66666667," 15:22:07","21/01/2011",1204.5,28,"Block 5:",1202
1797.66666667,"NA",1282," 2245","NA"," 18890",1218,"NA",1106,"NA","NA","NA",2260,"NA"," 17:23:05","30/03/2011",2743,12,"Block 1:","NA"
"NA",1717,"NA"," 2245",1653," 20716","NA",6499,"NA","NA",906,1113,"NA",1228," 17:23:05","30/03/2011","NA",12,"Block 2:",944.5
1246,2112,1538.66666667," 2245",1592," 60548",1491.33333333,"NA",1087.8,1559.5,3491,2161.4,847.666666667,1131.75," 17:23:05","30/03/2011",2575.6,33,"Block 3:","NA"
851,"NA",1768," 2245","NA"," 18999",893.5,"NA",1073,"NA","NA","NA",3308,"NA"," 17:23:05","30/03/2011",1717,11,"Block 4:","NA"
853,3038.5,2941," 2245",1161.5," 91763",1775.2,3355.4,3931,1846,2599,5815.5,1747.25,1967," 17:23:05","30/03/2011",1522,30,"Block 5:",4099
1474,"NA","NA"," 2345","NA"," 15490",1659.5,"NA",727,"NA","NA","NA",1138,"NA"," 13:22:35","01/04/2011",1036,12,"Block 1:","NA"
"NA",814.666666667,"NA"," 2345",815," 11290","NA",1616,"NA",756,1234,711,"NA",1078.5," 13:22:35","01/04/2011","NA",12,"Block 2:",778.5
853.333333333,4094.5,810," 2345",1546," 60261",838.5,928.333333333,1341,2339,1167.33333333,934,1025.5,"NA"," 13:22:35","01/04/2011",1965.66666667,36,"Block 3:",1511.5
763,"NA",944.25," 2345","NA"," 11682",2130,"NA",885,"NA","NA","NA",816,"NA"," 13:22:35","01/04/2011",839.5,12,"Block 4:","NA"
5340.33333333,1148,"NA"," 2345",1924," 84903",1574.66666667,1985.6,2405,3428,1711,"NA",1089.66666667,1142," 13:22:35","01/04/2011",3786.25,35,"Block 5:",1189.25
530.5,"NA",620," 2385","NA"," 7954",758.666666667,"NA","NA","NA","NA","NA",739.5,"NA"," 13:20:08","06/04/2011",728.5,11,"Block 1:","NA"
"NA",1526,"NA"," 2385","NA"," 8570","NA",666,"NA","NA",550.5,699,"NA",564.5," 13:20:08","06/04/2011","NA",12,"Block 2:",719
723.4,797,1339," 2385",963," 32583",688,1665.5,616.75,925.5,979.666666667,1008.66666667,546,1260," 13:20:08","06/04/2011",935,34,"Block 3:",733.333333333
666,"NA",1053.66666667," 2385","NA"," 9483",777,"NA",651,"NA","NA","NA",707,"NA"," 13:20:08","06/04/2011",630,12,"Block 4:","NA"
591.5,1421,718," 2385",2432," 31860",656.25,1145.5,814.5,798,"NA",790,667.666666667,860," 13:20:08","06/04/2011",689,35,"Block 5:",856.5
555,"NA",716," 2456","NA"," 8856",1320.5,"NA",551,"NA","NA","NA",685.25,"NA"," 12:46:03","17/01/2011",548.5,12,"Block 1:","NA"
"NA",707,"NA"," 2456",586," 9265","NA",1187,"NA",673,"NA",659,"NA",610.25," 12:46:03","17/01/2011","NA",12,"Block 2:",1118
617.2,701,613," 2456",822," 29924",883.5,602,799.666666667,971.5,722.4,761,1408,1537.33333333," 12:46:03","17/01/2011","NA",36,"Block 3:",645.5
552.5,"NA",1659," 2456","NA"," 8264",615,"NA",509.333333333,"NA","NA","NA",740,"NA"," 12:46:03","17/01/2011",568.5,12,"Block 4:","NA"
658,845.5,794," 2456",1012.5," 35569",1130.33333333,1178.75,836.5,1118,1112,1483,777,1224.33333333," 12:46:03","17/01/2011",822,34,"Block 5:",999
642.25,"NA",585.5," 2510","NA"," 9116",575,"NA",606,"NA","NA","NA","NA","NA"," 12:27:54","24/03/2011",1196.33333333,12,"Block 1:","NA"
"NA",1568,"NA"," 2510",651," 10410","NA",732.5,"NA",915,"NA","NA","NA","NA"," 12:27:54","24/03/2011","NA",12,"Block 2:",665.6
799.2,"NA",719.75," 2510",1194," 34449",1168.5,954.333333333,675,797.333333333,664,787.5,646,1479.5," 12:27:54","24/03/2011",1532,35,"Block 3:",773.5
949.5,"NA",660," 2510","NA"," 10845",972,"NA",504,"NA","NA","NA",1154.5,"NA"," 12:27:54","24/03/2011",1049,11,"Block 4:","NA"
552.75,1413.5,970.333333333," 2510",1735," 41295",840.5,2898,630,"NA",1325,1621.5,733.5,734.5," 12:27:54","24/03/2011",841.666666667,33,"Block 5:",1151.33333333
707,"NA",851," 2610","NA"," 9984",815.666666667,"NA",639,"NA","NA","NA",762,"NA"," 11:16:34","21/03/2011",984.75,12,"Block 1:","NA"
"NA",1252.5,"NA"," 2610",1463.5," 12112","NA",1122,"NA",661,731.5,"NA","NA",960," 11:16:34","21/03/2011","NA",11,"Block 2:",824.666666667
774.666666667,1078.6,920," 2610",709," 32088",1092.33333333,996.333333333,677.5,790.666666667,767,1838,659.666666667,885," 11:16:34","21/03/2011",836,35,"Block 3:",768
506.5,"NA",740," 2610","NA"," 8418",616,"NA",626.333333333,"NA","NA","NA",604.666666667,"NA"," 11:16:34","21/03/2011",1178,11,"Block 4:","NA"
"NA",1232.16666667,869.8," 2610",924.5," 34653",1262,798,815.333333333,1258,805,877,832.2,603," 11:16:34","21/03/2011",780,34,"Block 5:",892
595,"NA",781.5," 2634","NA"," 19446",1540.66666667,"NA",3174,"NA","NA","NA",552,"NA"," 17:09:33","20/01/2011",1296,12,"Block 1:","NA"
"NA",619,"NA"," 2634",598," 10381","NA",618,"NA","NA",2052.5,889,"NA",549," 17:09:33","20/01/2011","NA",12,"Block 2:",588.666666667
768.333333333,906.333333333,1001," 2634",707," 38044",1369.33333333,726.5,755,1345,1270,945,699,617," 17:09:33","20/01/2011",2012,35,"Block 3:",998.5
626,"NA",717," 2634","NA"," 12926",4029,"NA",789,"NA","NA","NA",771.333333333,"NA"," 17:09:33","20/01/2011",915.5,11,"Block 4:","NA"
717,1486,1299.5," 2634",609," 40087",2152.5,1408.66666667,677.333333333,1151,1026.66666667,1233,1290,735.5," 17:09:33","20/01/2011",1018,35,"Block 5:",814
669,"NA",845.5," 2679","NA"," 11487",1619,"NA",838.5,"NA","NA","NA",882,"NA"," 11:12:33","24/02/2011",826.5,12,"Block 1:","NA"
"NA",1081,"NA"," 2679",840.5," 11055","NA",811,"NA","NA",866,794,"NA",817.666666667," 11:12:33","24/02/2011","NA",12,"Block 2:",1251.5
603,1071,574," 2679",1190.5," 31780",707.5,"NA",1100.75,912.5,1252.5,670,869,784," 11:12:33","24/02/2011",715,34,"Block 3:",617
"NA","NA",934," 2679","NA"," 11655",986.5,"NA",563.666666667,"NA","NA","NA",849,"NA"," 11:12:33","24/02/2011",1475,12,"Block 4:","NA"
1041,1183.6,1695.33333333," 2679",1407.5," 46712",1787,1317,1284,1119,2174,1150.66666667,1149,902," 11:12:33","24/02/2011",1040.5,33,"Block 5:",1761.5
665.666666667,"NA",901," 2712","NA"," 8967",850.5,"NA","NA","NA","NA","NA",663,"NA"," 14:11:27","18/01/2011",620,12,"Block 1:","NA"
"NA",1020.66666667,"NA"," 2712","NA"," 9591","NA",725,"NA",629.5,765,813,"NA",677," 14:11:27","18/01/2011","NA",12,"Block 2:",712
813,911,771," 2712",1120," 31287",806.5,853.333333333,905,1025,790,1047.33333333,811.333333333,916.833333333," 14:11:27","18/01/2011",791,36,"Block 3:",695.666666667
700,"NA",890," 2712","NA"," 9351",711,"NA",702,"NA","NA","NA",934.666666667,"NA"," 14:11:27","18/01/2011",711,12,"Block 4:","NA"
1032.75,888.2,1229.25," 2712",1084.33333333," 35053",1373,827,1853,696.5,686,912.5,921,769," 14:11:27","18/01/2011",924.333333333,34,"Block 5:",727.5
1816,"NA",772," 27122","NA"," 14228",1062.5,"NA",732,"NA","NA","NA",1339.5,"NA"," 16:12:29","13/04/2011",877,12,"Block 1:","NA"
"NA",885.666666667,"NA"," 27122",1847.33333333," 12939","NA",734.333333333,"NA",910,663,"NA","NA",964," 16:12:29","13/04/2011","NA",12,"Block 2:","NA"
1098.5,1244.66666667,726," 27122",743," 31635",945.428571429,696,835.5,773.5,727,"NA",790.666666667,977.333333333," 16:12:29","13/04/2011",504,36,"Block 3:",880
697.5,"NA",1272.66666667," 27122","NA"," 15589",1566.5,"NA",1448.6,"NA","NA","NA","NA","NA"," 16:12:29","13/04/2011","NA",11,"Block 4:","NA"
809,1203,786.25," 27122",1319," 30977",656.5,1268.5,846.5,705,775,596.5,709,817," 16:12:29","13/04/2011",700.75,36,"Block 5:",672
637,"NA",796.5," 2928","NA"," 14377",1336,"NA",2589.5,"NA","NA","NA",641,"NA"," 13:41:35","01/02/2011",773,12,"Block 1:","NA"
"NA",833,"NA"," 2928",2131," 12783","NA",708,"NA",1767,907,978.5,"NA",1038," 13:41:35","01/02/2011","NA",12,"Block 2:",814
846.333333333,887.5,729," 2928",1086.8," 37383",902.5,1468,889,626,1490.2,1032.75,991.6,857.5," 13:41:35","01/02/2011",725,36,"Block 3:",781
1077,"NA",900," 2928","NA"," 20360",1596.5,"NA",879,"NA","NA","NA",732.666666667,"NA"," 13:41:35","01/02/2011",3028.25,11,"Block 4:","NA"
1633.5,"NA",2055," 2928",1523.5," 69068","NA",1816.66666667,1677.5,1837,2616,1582.5,1765.66666667,3979," 13:41:35","01/02/2011",1431.8,34,"Block 5:",1481.5
467,"NA",679," 2983","NA"," 6238",531.25,"NA",500.333333333,"NA","NA","NA",447,"NA"," 15:20:17","13/04/2011",552,12,"Block 1:","NA"
